11:25:35 - CPU: 4.8% | Memory: 36.7% (63.4 GB)
11:32:16 - CPU: 4.1% | Memory: 37.6% (65.1 GB)
11:32:17 - CPU: 3.9% | Memory: 37.6% (65.0 GB)
11:32:18 - CPU: 4.4% | Memory: 37.7% (65.3 GB)
11:32:19 - CPU: 4.1% | Memory: 37.7% (65.3 GB)
11:32:20 - CPU: 3.9% | Memory: 37.7% (65.2 GB)
11:32:21 - CPU: 4.5% | Memory: 37.7% (65.2 GB)
11:32:22 - CPU: 4.5% | Memory: 37.6% (65.1 GB)
11:32:23 - CPU: 5.6% | Memory: 37.8% (65.4 GB)
11:32:24 - CPU: 4.5% | Memory: 37.3% (64.4 GB)
11:32:25 - CPU: 4.7% | Memory: 37.4% (64.7 GB)
11:32:26 - CPU: 4.5% | Memory: 37.4% (64.8 GB)
11:32:27 - CPU: 4.0% | Memory: 37.5% (64.9 GB)
11:32:28 - CPU: 4.4% | Memory: 37.5% (64.8 GB)
11:32:29 - CPU: 4.0% | Memory: 37.4% (64.8 GB)
11:32:30 - CPU: 4.1% | Memory: 37.5% (64.8 GB)
11:32:31 - CPU: 4.3% | Memory: 37.5% (64.8 GB)
11:32:32 - CPU: 4.1% | Memory: 37.5% (64.8 GB)
11:32:33 - CPU: 4.4% | Memory: 37.5% (64.9 GB)
11:32:34 - CPU: 4.1% | Memory: 37.4% (64.8 GB)
11:32:35 - CPU: 4.5% | Memory: 37.4% (64.7 GB)
11:32:36 - CPU: 4.1% | Memory: 37.4% (64.7 GB)
11:32:37 - CPU: 4.1% | Memory: 37.4% (64.7 GB)
11:32:38 - CPU: 3.5% | Memory: 37.4% (64.7 GB)
11:32:39 - CPU: 4.1% | Memory: 37.5% (64.8 GB)
11:32:40 - CPU: 3.8% | Memory: 37.5% (64.8 GB)
11:32:41 - CPU: 4.3% | Memory: 37.4% (64.7 GB)
11:32:42 - CPU: 3.9% | Memory: 37.5% (64.8 GB)
11:32:43 - CPU: 4.1% | Memory: 37.5% (64.8 GB)
11:32:44 - CPU: 3.7% | Memory: 37.5% (64.8 GB)
11:32:45 - CPU: 4.1% | Memory: 37.5% (64.8 GB)
11:32:46 - CPU: 4.5% | Memory: 37.4% (64.8 GB)
11:32:47 - CPU: 4.5% | Memory: 37.5% (64.8 GB)
11:32:48 - CPU: 4.3% | Memory: 37.5% (64.9 GB)
11:32:49 - CPU: 3.9% | Memory: 37.5% (64.8 GB)
11:32:50 - CPU: 3.7% | Memory: 37.5% (64.8 GB)
11:32:51 - CPU: 4.7% | Memory: 37.5% (64.9 GB)
11:32:52 - CPU: 4.0% | Memory: 37.5% (64.9 GB)
11:32:53 - CPU: 3.5% | Memory: 37.5% (64.8 GB)
11:32:54 - CPU: 4.0% | Memory: 37.5% (64.9 GB)
11:32:55 - CPU: 3.9% | Memory: 37.5% (64.8 GB)
11:32:56 - CPU: 5.9% | Memory: 37.5% (64.9 GB)
11:32:57 - CPU: 5.1% | Memory: 37.6% (65.1 GB)
11:32:58 - CPU: 4.4% | Memory: 37.6% (65.1 GB)
11:32:59 - CPU: 3.6% | Memory: 37.6% (65.0 GB)
11:33:00 - CPU: 4.7% | Memory: 37.6% (65.0 GB)
11:33:01 - CPU: 4.4% | Memory: 37.6% (65.1 GB)
11:33:02 - CPU: 4.0% | Memory: 37.6% (65.1 GB)
11:33:03 - CPU: 3.7% | Memory: 37.6% (65.0 GB)
11:33:04 - CPU: 3.9% | Memory: 37.6% (65.1 GB)
11:33:05 - CPU: 3.4% | Memory: 37.6% (65.0 GB)
11:33:06 - CPU: 4.3% | Memory: 37.6% (65.0 GB)
11:33:07 - CPU: 4.7% | Memory: 37.7% (65.2 GB)
11:33:08 - CPU: 4.0% | Memory: 37.6% (65.1 GB)
11:33:09 - CPU: 4.0% | Memory: 37.7% (65.2 GB)
11:33:10 - CPU: 4.0% | Memory: 37.6% (65.1 GB)
11:33:11 - CPU: 4.4% | Memory: 37.7% (65.3 GB)
11:33:12 - CPU: 4.1% | Memory: 37.7% (65.2 GB)
11:33:13 - CPU: 4.7% | Memory: 37.6% (65.1 GB)
11:33:14 - CPU: 4.2% | Memory: 37.6% (65.1 GB)
11:33:15 - CPU: 4.0% | Memory: 37.7% (65.2 GB)
11:33:16 - CPU: 4.6% | Memory: 37.7% (65.2 GB)
11:33:17 - CPU: 5.6% | Memory: 37.7% (65.3 GB)
11:33:18 - CPU: 4.8% | Memory: 37.7% (65.3 GB)
11:33:19 - CPU: 4.7% | Memory: 37.8% (65.4 GB)
11:33:20 - CPU: 4.8% | Memory: 37.4% (64.7 GB)
11:33:21 - CPU: 3.7% | Memory: 37.3% (64.5 GB)
